473.astar,baseline,0:01.00
473.astar,fm,0:01.11
473.astar,fm2,0:01.06
473.astar,fm3,0:01.56
433.milc,baseline,0:02.74
433.milc,fm,0:02.97
433.milc,fm2,0:02.71
433.milc,fm3,0:03.82
462.libquantum,baseline,0:00.81
462.libquantum,fm,0:00.89
462.libquantum,fm2,0:00.84
462.libquantum,fm3,0:01.02
470.lbm,baseline,0:00.24
470.lbm,fm,0:00.26
470.lbm,fm2,0:00.27
470.lbm,fm3,0:00.32
401.bzip2,baseline,0:01.55
401.bzip2,fm,0:03.67
401.bzip2,fm2,0:01.82
401.bzip2,fm3,0:02.02
450.soplex,baseline,0:13.23
450.soplex,fm,0:15.90
450.soplex,fm2,0:14.06
450.soplex,fm3,0:15.87
471.omnetpp,baseline,0:07.66
471.omnetpp,fm,0:07.93
471.omnetpp,fm2,0:07.67
471.omnetpp,fm3,0:09.39
482.sphinx3,baseline,0:03.37
482.sphinx3,fm,0:04.03
482.sphinx3,fm2,0:03.57
482.sphinx3,fm3,0:04.26
400.perlbench,baseline,0:17.53
400.perlbench,fm,0:39.98
400.perlbench,fm2,0:21.12
400.perlbench,fm3,0:25.89
447.dealII,baseline,1:12.20
447.dealII,fm,1:34.25
447.dealII,fm2,1:14.51
447.dealII,fm3,1:32.43
464.h264ref,baseline,0:09.51
464.h264ref,fm,0:17.10
464.h264ref,fm2,0:10.72
464.h264ref,fm3,0:12.34
456.hmmer,baseline,0:05.46
456.hmmer,fm,0:07.13
456.hmmer,fm2,0:05.81
456.hmmer,fm3,0:07.03
453.povray,baseline,0:22.45
453.povray,fm,0:31.77
453.povray,fm2,0:24.98
453.povray,fm3,0:30.13
445.gobmk,baseline,0:13.55
445.gobmk,fm,0:20.86
445.gobmk,fm2,0:15.29
445.gobmk,fm3,0:18.41
403.gcc,baseline,0:51.08
403.gcc,fm,1:59.07
403.gcc,fm2,1:07.06
403.gcc,fm3,1:24.41
444.namd,baseline,0:05.47
444.namd,fm,0:09.60
444.namd,fm2,0:06.07
444.namd,fm3,0:06.92
429.mcf,baseline,0:00.51
429.mcf,fm,0:00.54
429.mcf,fm2,0:00.49
429.mcf,fm3,0:00.72
458.sjeng,baseline,0:01.84
458.sjeng,fm,0:02.74
458.sjeng,fm2,0:02.20
458.sjeng,fm3,0:02.60
483.xalancbmk,baseline,1:35.59
483.xalancbmk,fm,2:00.55
483.xalancbmk,fm2,1:49.01
483.xalancbmk,fm3,2:06.78
